absent near-centre frames 1925
1697 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1698 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1699 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1700 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1701 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1702 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1703 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1704 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1705 angle=12.4 r=0.110 p11=1.7778 esg_row=1
1706 angle=12.4 r=0.111 p11=1.7778 esg_row=1
1707 angle=12.4 r=0.111 p11=1.7778 esg_row=1
1708 angle=12.4 r=0.111 p11=1.7778 esg_row=1
1709 angle=12.4 r=0.111 p11=1.7778 esg_row=1
1710 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1711 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1712 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1713 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1714 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1715 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1716 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1717 angle=12.5 r=0.111 p11=1.7778 esg_row=1
1718 angle=12.6 r=0.112 p11=1.7778 esg_row=1
1719 angle=12.6 r=0.112 p11=1.7778 esg_row=1
1720 angle=12.6 r=0.112 p11=1.7778 esg_row=1
1721 angle=12.6 r=0.112 p11=1.7778 esg_row=1
1722 angle=12.7 r=0.112 p11=1.7778 esg_row=1
1723 angle=12.7 r=0.113 p11=1.7778 esg_row=1
1724 angle=12.7 r=0.113 p11=1.7778 esg_row=1
1725 angle=12.8 r=0.113 p11=1.7778 esg_row=1
1726 angle=12.8 r=0.114 p11=1.7778 esg_row=1
1727 angle=12.8 r=0.114 p11=1.7778 esg_row=1
1728 angle=12.9 r=0.115 p11=1.7778 esg_row=1
1729 angle=12.9 r=0.115 p11=1.7778 esg_row=1
1730 angle=13.0 r=0.116 p11=1.7778 esg_row=1
1731 angle=13.0 r=0.116 p11=1.7778 esg_row=1
1732 angle=13.1 r=0.117 p11=1.7778 esg_row=1
1733 angle=13.2 r=0.118 p11=1.7778 esg_row=1
1734 angle=13.3 r=0.119 p11=1.7778 esg_row=1
1735 angle=13.3 r=0.120 p11=1.7778 esg_row=1
1736 angle=13.4 r=0.121 p11=1.7778 esg_row=1
1737 angle=13.5 r=0.122 p11=1.7778 esg_row=1
1738 angle=13.5 r=0.123 p11=1.7778 esg_row=1
1739 angle=13.6 r=0.124 p11=1.7778 esg_row=1
1740 angle=13.7 r=0.125 p11=1.7778 esg_row=1
1741 angle=14.1 r=0.131 p11=1.7778 esg_row=1
1742 angle=14.2 r=0.133 p11=1.7778 esg_row=1
1743 angle=14.3 r=0.135 p11=1.7778 esg_row=1
1744 angle=14.4 r=0.137 p11=1.7778 esg_row=1
1745 angle=14.5 r=0.139 p11=1.7778 esg_row=1
1746 angle=14.8 r=0.144 p11=1.7778 esg_row=1
1747 angle=15.1 r=0.150 p11=1.7778 esg_row=1
1748 angle=15.4 r=0.156 p11=1.7778 esg_row=1
1749 angle=15.7 r=0.163 p11=1.7778 esg_row=1
1750 angle=16.0 r=0.170 p11=1.7778 esg_row=1
1751 angle=16.4 r=0.177 p11=1.7778 esg_row=1
1752 angle=16.7 r=0.185 p11=1.7778 esg_row=1
1753 angle=17.1 r=0.192 p11=1.7778 esg_row=1
1754 angle=17.4 r=0.200 p11=1.7778 esg_row=1
1755 angle=17.8 r=0.208 p11=1.7778 esg_row=1
1756 angle=18.1 r=0.216 p11=1.7778 esg_row=1
1757 angle=18.5 r=0.224 p11=1.7778 esg_row=1
1758 angle=18.8 r=0.232 p11=1.7778 esg_row=1
1759 angle=19.2 r=0.241 p11=1.7778 esg_row=1
1760 angle=19.6 r=0.250 p11=1.7778 esg_row=1
1761 angle=19.9 r=0.258 p11=1.7778 esg_row=1
1762 angle=20.3 r=0.267 p11=1.7778 esg_row=1
