   4 draws  116315 prim model=00005428 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,165 nodes=1+0nocensus s=13,d=18220944,r=394237,lod=1,kept body=stations\station_scenes\tech\argon_tech_M_laser_cc
   4 draws  108429 prim model=000053aa cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,216 nodes=1+0nocensus s=64,d=11279071,r=1132932,lod=1,kept body=stations\station_scenes\others\argon_equipmentdock
   4 draws     640 prim model=00005422 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=4+0nocensus s=5,d=15615998,r=140475,lod=0,kept s=5,d=15967089,r=140475,lod=0,kept s=6,d=13120902,r=140475,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimB_
   3 draws   50145 prim model=00005536 cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,120 nodes=1+0nocensus s=23,d=5726054,r=208882,lod=1,kept body=ships\m7\split_M7M
   3 draws       6 prim model=00005691 cam=aee0 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=3+0nocensus s=117440512,d=0,r=32,lod=0,kept s=117440512,d=34,r=32,lod=0,kept s=117440512,d=70,r=32,lod=0,kept body=effects/menugfx/hud_target_text
   2 draws    3424 prim model=00004fef cam=0ba8 ovl=0 ctxlod=[0] lods=5 thr=100000,20,5,2,30 nodes=2+0nocensus s=41,d=15697873,r=1016512,lod=0,kept s=62,d=10354107,r=1016512,lod=0,kept body=environments\asteroids\asteroid_B_ClassMine
   2 draws    9834 prim model=00004fea cam=0ba8 ovl=0 ctxlod=[0] lods=4 thr=100000,30,15,5 nodes=1+0nocensus s=187,d=17110,r=5013,lod=0,kept body=ships\argon\argon_M3_var2
   2 draws   23826 prim model=0000552a cam=0ba8 ovl=1 ctxlod=[1] lods=3 thr=100000,30,120 nodes=1+0nocensus s=28,d=4597781,r=206941,lod=1,kept body=ships\M7\Argon_m7m
   2 draws       4 prim model=00005696 cam=33f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=98,lod=0,kept body=effects/menugfx/hud_radar_2d
   1 draws     768 prim model=000050e8 cam=1340 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_stars_01
   1 draws      28 prim model=35ba45c4 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=11,d=1457525,r=25270,lod=0,kept body=-
   1 draws      28 prim model=35ba45c5 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=11,d=1459074,r=25178,lod=0,kept body=-
